Date,Centre_Name,Commodity_Name,Price,Month
2009-03-18,BENGALURU,Brinjal,14.0,2009-03
2009-03-18,T.PURAM,Brinjal,8.0,2009-03
2009-03-18,CHENNAI,Brinjal,24.0,2009-03
2009-03-19,BENGALURU,Brinjal,14.0,2009-03
2009-03-19,T.PURAM,Brinjal,8.0,2009-03
2009-03-19,CHENNAI,Brinjal,24.0,2009-03
2009-03-20,BENGALURU,Brinjal,14.0,2009-03
2009-03-20,T.PURAM,Brinjal,8.0,2009-03
2009-03-20,CHENNAI,Brinjal,24.0,2009-03
2009-03-23,BENGALURU,Brinjal,14.0,2009-03
2009-03-23,T.PURAM,Brinjal,8.0,2009-03
2009-03-23,CHENNAI,Brinjal,24.0,2009-03
2009-03-24,BENGALURU,Brinjal,14.0,2009-03
2009-03-24,T.PURAM,Brinjal,8.0,2009-03
2009-03-24,CHENNAI,Brinjal,24.0,2009-03
2009-03-25,BENGALURU,Brinjal,14.0,2009-03
2009-03-25,T.PURAM,Brinjal,8.0,2009-03
2009-03-25,CHENNAI,Brinjal,24.0,2009-03
2009-03-26,BENGALURU,Brinjal,14.0,2009-03
2009-03-26,T.PURAM,Brinjal,8.0,2009-03
2009-03-26,CHENNAI,Brinjal,24.0,2009-03
2009-03-27,BENGALURU,Brinjal,14.0,2009-03
2009-03-27,T.PURAM,Brinjal,8.0,2009-03
2009-03-27,CHENNAI,Brinjal,18.0,2009-03
2009-03-30,BENGALURU,Brinjal,14.0,2009-03
2009-03-30,T.PURAM,Brinjal,8.0,2009-03
2009-03-30,CHENNAI,Brinjal,18.0,2009-03
2009-03-31,BENGALURU,Brinjal,14.0,2009-03
2009-03-31,T.PURAM,Brinjal,8.0,2009-03
2009-03-31,CHENNAI,Brinjal,18.0,2009-03
2009-01-04,BENGALURU,Brinjal,14.0,2009-01
2009-01-04,T.PURAM,Brinjal,8.0,2009-01
2009-01-04,CHENNAI,Brinjal,18.0,2009-01
2009-02-04,BENGALURU,Brinjal,14.0,2009-02
2009-02-04,T.PURAM,Brinjal,8.0,2009-02
2009-02-04,CHENNAI,Brinjal,18.0,2009-02
2009-06-04,BENGALURU,Brinjal,14.0,2009-06
2009-06-04,T.PURAM,Brinjal,8.0,2009-06
2009-06-04,CHENNAI,Brinjal,18.0,2009-06
2009-08-04,BENGALURU,Brinjal,14.0,2009-08
2009-08-04,T.PURAM,Brinjal,8.0,2009-08
2009-08-04,CHENNAI,Brinjal,18.0,2009-08
2009-09-04,BENGALURU,Brinjal,14.0,2009-09
2009-09-04,T.PURAM,Brinjal,8.0,2009-09
2009-09-04,CHENNAI,Brinjal,18.0,2009-09
2009-04-13,BENGALURU,Brinjal,14.0,2009-04
2009-04-13,T.PURAM,Brinjal,8.0,2009-04
2009-04-13,CHENNAI,Brinjal,18.0,2009-04
2009-04-15,BENGALURU,Brinjal,14.0,2009-04
2009-04-15,T.PURAM,Brinjal,8.0,2009-04
2009-04-15,CHENNAI,Brinjal,18.0,2009-04
2009-04-16,BENGALURU,Brinjal,14.0,2009-04
2009-04-16,T.PURAM,Brinjal,8.0,2009-04
2009-04-16,CHENNAI,Brinjal,18.0,2009-04
2009-04-17,BENGALURU,Brinjal,14.0,2009-04
2009-04-17,T.PURAM,Brinjal,8.0,2009-04
2009-04-17,CHENNAI,Brinjal,18.0,2009-04
2009-04-20,BENGALURU,Brinjal,14.0,2009-04
2009-04-20,T.PURAM,Brinjal,8.0,2009-04
2009-04-20,CHENNAI,Brinjal,18.0,2009-04
2009-04-21,BENGALURU,Brinjal,14.0,2009-04
2009-04-21,T.PURAM,Brinjal,8.0,2009-04
2009-04-21,CHENNAI,Brinjal,18.0,2009-04
2009-04-22,BENGALURU,Brinjal,14.0,2009-04
2009-04-22,T.PURAM,Brinjal,8.0,2009-04
2009-04-22,CHENNAI,Brinjal,18.0,2009-04
2009-04-23,BENGALURU,Brinjal,14.0,2009-04
2009-04-23,T.PURAM,Brinjal,8.0,2009-04
2009-04-23,CHENNAI,Brinjal,18.0,2009-04
2009-04-24,BENGALURU,Brinjal,14.0,2009-04
2009-04-24,T.PURAM,Brinjal,8.0,2009-04
2009-04-24,CHENNAI,Brinjal,18.0,2009-04
2009-04-27,BENGALURU,Brinjal,14.0,2009-04
2009-04-27,T.PURAM,Brinjal,8.0,2009-04
2009-04-27,CHENNAI,Brinjal,18.0,2009-04
2009-04-28,BENGALURU,Brinjal,14.0,2009-04
2009-04-28,T.PURAM,Brinjal,8.0,2009-04
2009-04-28,CHENNAI,Brinjal,18.0,2009-04
2009-04-29,BENGALURU,Brinjal,14.0,2009-04
2009-04-29,T.PURAM,Brinjal,8.0,2009-04
2009-04-29,CHENNAI,Brinjal,18.0,2009-04
2009-04-30,BENGALURU,Brinjal,14.0,2009-04
2009-04-30,T.PURAM,Brinjal,8.0,2009-04
2009-04-30,CHENNAI,Brinjal,18.0,2009-04
2009-01-05,BENGALURU,Brinjal,14.0,2009-01
2009-01-05,T.PURAM,Brinjal,8.0,2009-01
2009-01-05,CHENNAI,Brinjal,18.0,2009-01
2009-04-05,BENGALURU,Brinjal,14.0,2009-04
2009-04-05,T.PURAM,Brinjal,8.0,2009-04
2009-04-05,CHENNAI,Brinjal,18.0,2009-04
2009-05-05,BENGALURU,Brinjal,14.0,2009-05
2009-05-05,T.PURAM,Brinjal,8.0,2009-05
2009-05-05,CHENNAI,Brinjal,18.0,2009-05
2009-06-05,BENGALURU,Brinjal,14.0,2009-06
2009-06-05,T.PURAM,Brinjal,8.0,2009-06
2009-06-05,CHENNAI,Brinjal,18.0,2009-06
2009-08-05,BENGALURU,Brinjal,14.0,2009-08
2009-08-05,T.PURAM,Brinjal,8.0,2009-08
2009-08-05,CHENNAI,Brinjal,18.0,2009-08
2009-11-05,BENGALURU,Brinjal,14.0,2009-11
2009-11-05,T.PURAM,Brinjal,8.0,2009-11
2009-11-05,CHENNAI,Brinjal,18.0,2009-11
2009-12-05,BENGALURU,Brinjal,14.0,2009-12
2009-12-05,T.PURAM,Brinjal,8.0,2009-12
2009-12-05,CHENNAI,Brinjal,18.0,2009-12
2009-05-13,BENGALURU,Brinjal,14.0,2009-05
2009-05-13,T.PURAM,Brinjal,8.0,2009-05
